ZAVMATNAZ,ZAVNAZ,REGIJA,OBCINA,DAT_OD,DAT_DO,VNOS,OBDOBJE,STEV_UCENCEV,DOGODEK,VZROK,TRAJANJE,LETO_TEDEN_VNOSA
Vrtec Škofja Loka,"Vrtec Škofja Loka, enota Najdihojca",Gorenjska,Škofja Loka,2021-09-06,2021-09-15,2021-09-09,VRTEC,srednje,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri vzgojitelju,srednje,2021_36
Osnovna šola Slivnica pri Celju,Osnovna šola Slivnica pri Celju,Savinjska,Šentjur,2021-09-06,2021-09-15,2021-09-09,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
Vrtec Škofja Loka,"Vrtec Škofja Loka, enota Najdihojca",Gorenjska,Škofja Loka,2021-09-06,2021-09-15,2021-09-09,VRTEC,srednje,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri otroku ali več otrocih skupine,srednje,2021_36
Osnovna šola Rodica,Osnovna šola Rodica,Osrednjeslovenska,Domžale,2021-09-09,2021-09-13,2021-09-09,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,kratko,2021_36
Osnovna šola Domžale,"Osnovna šola Domžale, Podružnična šola Ihan",Osrednjeslovenska,Domžale,2021-09-06,2021-09-15,2021-09-09,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
Osnovna šola Tržič,Osnovna šola Tržič,Gorenjska,Tržič,2021-09-07,2021-09-12,2021-09-09,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,kratko,2021_36
Osnovna šola Žužemberk,Osnovna šola Žužemberk,Jugovzhodna Slovenija,Žužemberk,2021-09-07,2021-09-16,2021-09-09,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
Osnovna šola Kanal,Osnovna šola Kanal,Goriška,Kanal,2021-09-07,2021-09-16,2021-09-09,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
Osnovna šola Louisa Adamiča Grosuplje,Osnovna šola Louisa Adamiča Grosuplje Podružnica Žalna,Osrednjeslovenska,Grosuplje,2021-09-09,2021-09-18,2021-09-09,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
Osnovna šola narodnega heroja Rajka Hrastnik,"Osnovna šola narodnega heroja Rajka Hrastnik, Podružnična šola Dol pri Hrastniku",Zasavska,Hrastnik,2021-09-06,2021-09-15,2021-09-09,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
Glasbena šola Jesenice,Glasbena šola Jesenice,Gorenjska,Jesenice,2021-09-08,2021-09-15,2021-09-09,GLASBENA ŠOLA,malo,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učitelju,srednje,2021_36
Dijaški dom Tabor,Dijaški dom Tabor,Osrednjeslovenska,Ljubljana,2021-09-08,2021-09-12,2021-09-09,OSTALO,veliko,"Vzgojno delo poteka na prilagojen / spremenjen način (manjše skupine, zaščitne maske, dodatna razkuževanja ...)",Sum na okužbo s Covid-19 pri dijaku ali več dijakih oddelka,kratko,2021_36
Osnovna šola Kanal,Osnovna šola Kanal,Goriška,Kanal,2021-09-06,2021-09-15,2021-09-09,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
Prometna šola Maribor,"Prometna šola Maribor, Srednja prometna šola in dijaški dom",Podravska,Maribor,2021-09-02,2021-09-10,2021-09-09,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2021_36
Srednja zdravstvena in kozmetična šola Maribor,Srednja zdravstvena in kozmetična šola Maribor,Podravska,Maribor,2021-09-08,2021-09-17,2021-09-09,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Sum na okužbo s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2021_36
Prometna šola Maribor,"Prometna šola Maribor, Srednja prometna šola in dijaški dom",Podravska,Maribor,2021-09-09,2021-09-16,2021-09-09,SREDNJA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2021_36
Osnovna šola Metlika,Osnovna šola Metlika,Jugovzhodna Slovenija,Metlika,2021-09-10,2021-09-17,2021-09-09,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
"Zasebni vrtec Dobra teta d.o.o., enota Pri dobri Evi","Zasebni vrtec Dobra teta d.o.o., enota Pri dobri Tinci",Gorenjska,Kranj,2021-09-03,2021-09-11,2021-09-09,VRTEC,srednje,Otroci oddelka so v domači karanteni,Okužba pri delavcu,srednje,2021_36
Osnovna šola Toneta Čufarja Jesenice,Osnovna šola Toneta Čufarja Jesenice,Gorenjska,Jesenice,2021-09-07,2021-09-17,2021-09-09,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
Vrtec La Coccinella Piran,"Vrtec La Coccinella Piran, matična enota Lucija",Obalno-kraška,Piran,2021-09-06,2021-09-16,2021-09-09,VRTEC,malo,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri vzgojitelju,srednje,2021_36
Osnovna šola Matije Valjavca Preddvor,Osnovna šola Matije Valjavca Preddvor,Gorenjska,Preddvor,2021-09-09,2021-09-15,2021-09-09,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učitelju,kratko,2021_36
Osnovna šola Ivana Babiča - Jagra Marezige,Osnovna šola Ivana Babiča - Jagra Marezige,Obalno-kraška,Koper,2021-09-08,2021-09-17,2021-09-10,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
Osnovna šola dr. Aleš Bebler - Primož Hrvatini,Osnovna šola dr. Aleš Bebler - Primož Hrvatini,Obalno-kraška,Koper,2021-09-10,2021-09-15,2021-09-10,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,kratko,2021_36
Srednja tehniška šola Koper,Srednja tehniška šola Koper,Obalno-kraška,Koper,2021-09-10,2021-09-19,2021-09-10,SREDNJA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2021_36
Osnovna šola Notranjski odred Cerknica,Osnovna šola Notranjski odred Cerknica,Primorsko-notranjska,Cerknica,2021-09-09,2021-09-15,2021-09-10,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,kratko,2021_36
Osnovna šola Notranjski odred Cerknica,Osnovna šola Notranjski odred Cerknica,Primorsko-notranjska,Cerknica,2021-09-03,2021-09-15,2021-09-10,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
Srednja tehniška šola Koper,Srednja tehniška šola Koper,Obalno-kraška,Koper,2021-09-10,2021-09-19,2021-09-10,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2021_36
Osnovna šola Ivana Babiča - Jagra Marezige,Osnovna šola Ivana Babiča - Jagra Marezige,Obalno-kraška,Koper,2021-09-03,2021-09-12,2021-09-10,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
I. osnovna šola Celje,I. osnovna šola Celje,Savinjska,Celje,2021-09-08,2021-09-17,2021-09-10,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
Osnovna šola Antona Ukmarja Koper,Osnovna šola Antona Ukmarja Koper,Obalno-kraška,Koper,2021-09-10,2021-09-16,2021-09-10,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,kratko,2021_36
I. osnovna šola Celje,I. osnovna šola Celje,Savinjska,Celje,2021-09-09,2021-09-18,2021-09-10,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
Osnovna šola Štore,Osnovna šola Štore,Savinjska,Štore,2021-09-06,2021-09-12,2021-09-10,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,kratko,2021_36
Osnovna šola Vojnik,Osnovna šola Vojnik Podružnica Nova Cerkev,Savinjska,Vojnik,2021-09-10,2021-09-16,2021-09-10,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,kratko,2021_36
Srednja zdravstvena in kozmetična šola Maribor,Srednja zdravstvena in kozmetična šola Maribor,Podravska,Maribor,2021-09-07,2021-09-16,2021-09-10,SREDNJA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2021_36
Osnovna šola Jurija Vege,Osnovna šola Jurija Vege,Osrednjeslovenska,Moravče,2021-09-08,2021-09-17,2021-09-10,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
Osnovna šola Vojnik,Osnovna šola Vojnik,Savinjska,Vojnik,2021-09-10,2021-09-18,2021-09-10,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
Osnovna šola Vojnik,Osnovna šola Vojnik,Savinjska,Vojnik,2021-09-10,2021-09-18,2021-09-10,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
Osnovna šola Dante Alighieri Izola,Osnovna šola Dante Alighieri Izola,Obalno-kraška,Izola,2021-09-07,2021-09-16,2021-09-10,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
Osnovna šola Livade - Izola,Osnovna šola Livade - Izola,Obalno-kraška,Izola,2021-09-08,2021-09-17,2021-09-10,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
Osnovna šola Dante Alighieri Izola,Osnovna šola Dante Alighieri Izola,Obalno-kraška,Izola,2021-09-03,2021-09-12,2021-09-10,OSNOVNA ŠOLA,malo,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
Srednja šola tehniških strok Šiška,Srednja šola tehniških strok Šiška,Osrednjeslovenska,Ljubljana,2021-09-09,2021-09-17,2021-09-10,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2021_36
Osnovna šola narodnega heroja Rajka Hrastnik,"Osnovna šola narodnega heroja Rajka Hrastnik, Podružnična šola Dol pri Hrastniku",Zasavska,Hrastnik,2021-09-07,2021-09-16,2021-09-10,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
III. osnovna šola Celje,III. osnovna šola Celje,Savinjska,Celje,2021-09-10,2021-09-17,2021-09-10,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
Osnovna šola Štore,Osnovna šola Štore,Savinjska,Štore,2021-09-13,2021-09-17,2021-09-10,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,kratko,2021_36
Osnovna šola Komenda Moste,Osnovna šola Komenda Moste,Osrednjeslovenska,Komenda,2021-09-11,2021-09-18,2021-09-10,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
Vrtec Manka Golarja Gornja Radgona,Vrtec Manka Golarja Gornja Radgona,Pomurska,Gornja Radgona,2021-09-03,2021-09-12,2021-09-10,VRTEC,malo,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri otroku ali več otrocih skupine,srednje,2021_36
Gimnazija Novo mesto,Gimnazija Novo mesto,Jugovzhodna Slovenija,Novo mesto,2021-09-12,2021-09-17,2021-09-10,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,kratko,2021_36
Osnovna šola Vuzenica,"Osnovna šola Vuzenica, Enota Vrtec Vuzenica",Koroška,Vuzenica,2021-08-27,2021-09-03,2021-09-10,VRTEC,malo,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba pri delavcu,srednje,2021_36
Osnovna šola Petrovče,Osnovna šola Petrovče,Savinjska,Žalec,2021-09-10,2021-09-17,2021-09-10,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
Osnovna šola Breg,Osnovna šola Breg,Podravska,Ptuj,2021-09-09,2021-09-15,2021-09-10,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učitelju,kratko,2021_36
Osnovna šola Šempeter v Savinjski dolini,Osnovna šola Šempeter v Savinjski dolini,Savinjska,Žalec,2021-09-09,2021-09-17,2021-09-10,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
Osnovna šola Brusnice,Osnovna šola Brusnice,Jugovzhodna Slovenija,Novo mesto,2021-09-08,2021-09-17,2021-09-10,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
Vrtec Najdihojca,Vrtec Najdihojca,Osrednjeslovenska,Ljubljana,2021-09-09,2021-09-17,2021-09-10,VRTEC,malo,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri otroku ali več otrocih skupine,srednje,2021_36
Srednja šola Veno Pilon Ajdovščina,Srednja šola Veno Pilon Ajdovščina,Goriška,Ajdovščina,2021-09-10,2021-09-15,2021-09-10,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,kratko,2021_36
Vrtec La Coccinella Piran,"Vrtec La Coccinella Piran, enota Sečovlje",Obalno-kraška,Piran,2021-09-06,2021-09-16,2021-09-10,VRTEC,srednje,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri otroku ali več otrocih skupine,srednje,2021_36
Vrtec La Coccinella Piran,"Vrtec La Coccinella Piran, enota Sečovlje",Obalno-kraška,Piran,2021-09-06,2021-09-16,2021-09-10,VRTEC,malo,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri otroku ali več otrocih skupine,srednje,2021_36
Osnovna šola Center Novo mesto,"Osnovna šola Center Novo mesto, Podružnična šola Mali Slatnik",Jugovzhodna Slovenija,Novo mesto,2021-09-10,2021-09-17,2021-09-10,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
Osnovna šola Matije Valjavca Preddvor,Osnovna šola Matije Valjavca Preddvor,Gorenjska,Preddvor,2021-09-10,2021-09-17,2021-09-10,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
Osnovna šola Braslovče,"Osnovna šola Braslovče, Podružnična osnovna šola Gomilsko",Savinjska,Braslovče,2021-09-06,2021-09-16,2021-09-10,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
Osnovna šola Center Novo mesto,Osnovna šola Center Novo mesto,Jugovzhodna Slovenija,Novo mesto,2021-09-10,2021-09-17,2021-09-10,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
Osnovna šola Center Novo mesto,Osnovna šola Center Novo mesto,Jugovzhodna Slovenija,Novo mesto,2021-09-10,2021-09-17,2021-09-10,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
VRTEC KURIRČEK LOGATEC,"VRTEC KURIRČEK LOGATEC, ENOTA ROVTE",Osrednjeslovenska,Logatec,2021-09-07,2021-09-16,2021-09-10,VRTEC,srednje,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri vzgojitelju,srednje,2021_36
Osnovna šola Center Novo mesto,Osnovna šola Center Novo mesto,Jugovzhodna Slovenija,Novo mesto,2021-09-10,2021-09-15,2021-09-10,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,kratko,2021_36
Osnovna šola Center Novo mesto,Osnovna šola Center Novo mesto,Jugovzhodna Slovenija,Novo mesto,2021-09-06,2021-09-11,2021-09-10,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,kratko,2021_36
Osnovna šola Dornberk,Osnovna šola Dornberk,Goriška,Nova Gorica,2021-09-10,2021-09-19,2021-09-10,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
Osnovna šola Otočec,Osnovna šola Otočec,Jugovzhodna Slovenija,Novo mesto,2021-09-10,2021-09-17,2021-09-10,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
Osnovna šola Braslovče,Osnovna šola Braslovče,Savinjska,Braslovče,2021-09-07,2021-09-17,2021-09-10,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
Gimnazija in ekonomska srednja šola Trbovlje,Gimnazija in ekonomska srednja šola Trbovlje,Zasavska,Trbovlje,2021-09-10,2021-09-17,2021-09-10,SREDNJA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2021_36
Osnovna šola Vuzenica,Osnovna šola Vuzenica,Koroška,Vuzenica,2021-09-09,2021-09-17,2021-09-10,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
Osnovna šola Center Novo mesto,Osnovna šola Center Novo mesto,Jugovzhodna Slovenija,Novo mesto,2021-09-03,2021-09-10,2021-09-10,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učitelju,srednje,2021_36
Osnovna šola Ketteja in Murna,Osnovna šola Ketteja in Murna,Osrednjeslovenska,Ljubljana,2021-09-09,2021-09-17,2021-09-10,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
Gimnazija Ptuj,Gimnazija Ptuj,Podravska,Ptuj,2021-09-08,2021-09-17,2021-09-10,SREDNJA ŠOLA,malo,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2021_36
Osnovna šola Zalog,Osnovna šola Zalog,Osrednjeslovenska,Ljubljana,2021-09-07,2021-09-16,2021-09-10,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
Gimnazija in ekonomska srednja šola Trbovlje,Gimnazija in ekonomska srednja šola Trbovlje,Zasavska,Trbovlje,2021-09-10,2021-09-16,2021-09-10,SREDNJA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,kratko,2021_36
Srednja zdravstvena in kozmetična šola Celje,Srednja zdravstvena in kozmetična šola Celje,Savinjska,Celje,2021-09-10,2021-09-17,2021-09-10,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2021_36
Šolski center Novo mesto,"Šolski center Novo mesto, Srednja zdravstvena in kemijska šola",Jugovzhodna Slovenija,Novo mesto,2021-09-08,2021-09-17,2021-09-10,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2021_36
Šolski center Novo mesto,"Šolski center Novo mesto, Srednja strojna šola",Jugovzhodna Slovenija,Novo mesto,2021-09-08,2021-09-17,2021-09-10,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2021_36
Biotehniški izobraževalni center Ljubljana,"Biotehniški izobraževalni center Ljubljana, Živilska šola",Osrednjeslovenska,Ljubljana,2021-09-06,2021-09-12,2021-09-10,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,kratko,2021_36
Osnovna šola Koseze,Osnovna šola Koseze,Osrednjeslovenska,Ljubljana,2021-09-09,2021-09-17,2021-09-10,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
Vrtec Antona Medveda Kamnik,"Vrtec Antona Medveda Kamnik, enota Tinkara",Osrednjeslovenska,Kamnik,2021-09-05,2021-09-15,2021-09-10,VRTEC,malo,Otroci oddelka so v domači karanteni,Okužba pri delavcu,srednje,2021_36
Šolski center Novo mesto,"Šolski center Novo mesto, Srednja elektro šola in tehniška gimnazija",Jugovzhodna Slovenija,Novo mesto,2021-09-13,2021-09-17,2021-09-10,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,kratko,2021_36
Osnovna šola Leskovec pri Krškem,Osnovna šola Leskovec pri Krškem,Posavska,Krško,2021-09-09,2021-09-18,2021-09-10,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
Osnovna šola Tržič,Osnovna šola Tržič,Gorenjska,Tržič,2021-09-09,2021-09-15,2021-09-10,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,kratko,2021_36
Prva osnovna šola Slovenj Gradec,Prva osnovna šola Slovenj Gradec,Koroška,Slovenj Gradec,2021-09-09,2021-09-16,2021-09-10,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
Osnovna šola Trnovo,Osnovna šola Trnovo,Osrednjeslovenska,Ljubljana,2021-09-06,2021-09-15,2021-09-10,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
Osnovna šola Trnovo,Osnovna šola Trnovo,Osrednjeslovenska,Ljubljana,2021-09-07,2021-09-16,2021-09-10,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
Osnovna šola Trnovo,Osnovna šola Trnovo,Osrednjeslovenska,Ljubljana,2021-09-08,2021-09-17,2021-09-10,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
Osnovna šola Ketteja in Murna,Osnovna šola Ketteja in Murna,Osrednjeslovenska,Ljubljana,2021-09-09,2021-09-17,2021-09-10,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
Osnovna šola Kapela,Osnovna šola Kapela,Pomurska,Radenci,2021-09-10,2021-09-19,2021-09-11,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
Osnovna šola Pod goro Slovenske Konjice,Osnovna šola Pod goro Slovenske Konjice Enota s prilagojenim učnim programom,Savinjska,Slovenske Konjice,2021-09-09,2021-09-19,2021-09-11,OSNOVNA ŠOLA,malo,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba pri delavcu,srednje,2021_36
Osnovna šola Ketteja in Murna,Osnovna šola Ketteja in Murna,Osrednjeslovenska,Ljubljana,2021-09-11,2021-09-18,2021-09-11,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
Osnovna šola narodnega heroja Rajka Hrastnik,"Osnovna šola narodnega heroja Rajka Hrastnik, Podružnična šola Dol pri Hrastniku",Zasavska,Hrastnik,2021-09-08,2021-09-17,2021-09-11,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
Osnovna šola Kapela,Osnovna šola Kapela,Pomurska,Radenci,2021-09-09,2021-09-18,2021-09-11,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_36
