ZAVMATNAZ,ZAVNAZ,REGIJA,OBCINA,DAT_OD,DAT_DO,VNOS,OBDOBJE,VZROK,TRAJANJE,LETO_TEDEN_VNOSA
Osnovna šola Prežihovega Voranca Jesenice,Osnovna šola Prežihovega Voranca Jesenice,Gorenjska,Jesenice,2020-10-02,2020-10-11,2020-10-02,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_40
Osnovna šola Prežihovega Voranca Jesenice,Osnovna šola Prežihovega Voranca Jesenice,Gorenjska,Jesenice,2020-10-02,2020-10-16,2020-10-02,OSNOVNA ŠOLA,Sum na okužbo,dolgo,2020_40
Osnovna šola Prežihovega Voranca Jesenice,Osnovna šola Prežihovega Voranca Jesenice,Gorenjska,Jesenice,2020-09-24,2020-10-01,2020-10-02,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_40
Osnovna šola Prežihovega Voranca Jesenice,Osnovna šola Prežihovega Voranca Jesenice,Gorenjska,Jesenice,2020-09-30,2020-10-11,2020-10-02,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_40
Šolski center Slovenj Gradec,"Šolski center Slovenj Gradec, Srednja zdravstvena šola",Koroška,Slovenj Gradec,2020-10-01,2020-10-11,2020-10-02,SREDNJA ŠOLA,Sum na okužbo,srednje,2020_40
Glasbena šola skladateljev Ipavcev Šentjur,Glasbena šola skladateljev Ipavcev Šentjur,Savinjska,Šentjur,2020-09-28,2020-10-08,2020-10-02,GLASBENA ŠOLA,Okužba s Covid-19,srednje,2020_40
Osnovna šola Škofja Loka - Mesto,Osnovna šola Škofja Loka - Mesto,Gorenjska,Škofja Loka,2020-09-28,2020-10-12,2020-10-02,OSNOVNA ŠOLA,Sum na okužbo,dolgo,2020_40
Gimnazija Litija,Gimnazija Litija,Zasavska,Litija,2020-09-29,2020-10-09,2020-10-02,SREDNJA ŠOLA,Sum na okužbo,srednje,2020_40
Osnovna šola Antona Martina Slomška Vrhnika,Osnovna šola Antona Martina Slomška Vrhnika,Osrednjeslovenska,Vrhnika,2020-09-29,2020-10-02,2020-10-02,OSNOVNA ŠOLA,Sum na okužbo,kratko,2020_40
Osnovna šola dr. Janeza Mencingerja Bohinjska Bistrica,Osnovna šola dr. Janeza Mencingerja Bohinjska Bistrica,Gorenjska,Bohinj,2020-09-25,2020-10-05,2020-10-02,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2020_40
Glasbena šola Litija - Šmartno,Glasbena šola Litija - Šmartno,Zasavska,Litija,2020-09-30,2020-10-09,2020-10-02,GLASBENA ŠOLA,Sum na okužbo,srednje,2020_40
Srednja zdravstvena šola Murska Sobota,Srednja zdravstvena šola Murska Sobota,Pomurska,Murska Sobota,2020-10-01,2020-10-11,2020-10-02,SREDNJA ŠOLA,Sum na okužbo,srednje,2020_40
Srednja zdravstvena šola Murska Sobota,Srednja zdravstvena šola Murska Sobota,Pomurska,Murska Sobota,2020-10-02,2020-10-12,2020-10-02,SREDNJA ŠOLA,Sum na okužbo,srednje,2020_40
Zasebni vrtec Viljem Julijan,Zasebni vrtec Viljem Julijan,Savinjska,Šentjur,2020-09-24,2020-10-03,2020-10-02,VRTEC,Sum na okužbo,srednje,2020_40
Šolski center Slovenske Konjice - Zreče,"Šolski center Slovenske Konjice - Zreče, Srednja poklicna in strokovna šola Zreče",Savinjska,Zreče,2020-10-01,2020-10-10,2020-10-02,SREDNJA ŠOLA,Okužba s Covid-19,srednje,2020_40
Osnovna šola Beltinci,Osnovna šola Beltinci,Pomurska,Beltinci,2020-10-01,2020-10-11,2020-10-02,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_40
Osnovna šola Beltinci,Osnovna šola Beltinci,Pomurska,Beltinci,2020-10-02,2020-10-12,2020-10-02,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_40
Šolski center Slovenske Konjice - Zreče,"Šolski center Slovenske Konjice - Zreče, Gimnazija Slovenske Konjice",Savinjska,Slovenske Konjice,2020-10-01,2020-10-07,2020-10-02,SREDNJA ŠOLA,Sum na okužbo,kratko,2020_40
VVZ Kekec Grosuplje,VVZ Kekec Grosuplje enota Tinkara,Osrednjeslovenska,Grosuplje,2020-10-02,2020-10-12,2020-10-02,VRTEC,Sum na okužbo,srednje,2020_40
Osnovna šola Ledina,Osnovna šola Ledina,Osrednjeslovenska,Ljubljana,2020-10-01,2020-10-02,2020-10-02,OSNOVNA ŠOLA,Sum na okužbo,kratko,2020_40
Srednja zdravstvena in kozmetična šola Celje,Srednja zdravstvena in kozmetična šola Celje,Savinjska,Celje,2020-09-29,2020-10-01,2020-10-02,SREDNJA ŠOLA,Sum na okužbo,kratko,2020_40
Srednja zdravstvena in kozmetična šola Celje,Srednja zdravstvena in kozmetična šola Celje,Savinjska,Celje,2020-09-29,2020-10-07,2020-10-02,SREDNJA ŠOLA,Sum na okužbo,srednje,2020_40
Osnovna šola Komenda Moste,Osnovna šola Komenda Moste,Osrednjeslovenska,Komenda,2020-10-01,2020-10-09,2020-10-03,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_40
Osnovna šola Škofljica,Osnovna šola Škofljica,Osrednjeslovenska,Škofljica,2020-10-01,2020-10-12,2020-10-03,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2020_40
Srednja zdravstvena in kozmetična šola Maribor,Srednja zdravstvena in kozmetična šola Maribor,Podravska,Maribor,2020-09-29,2020-10-10,2020-10-03,SREDNJA ŠOLA,Okužba s Covid-19,srednje,2020_40
Osnovna šola Škofljica,Osnovna šola Škofljica Podružnica Lavrica,Osrednjeslovenska,Škofljica,2020-10-02,2020-10-16,2020-10-03,OSNOVNA ŠOLA,Okužba s Covid-19,dolgo,2020_40
Srednja zdravstvena in kozmetična šola Maribor,Srednja zdravstvena in kozmetična šola Maribor,Podravska,Maribor,2020-10-01,2020-10-10,2020-10-03,SREDNJA ŠOLA,Okužba s Covid-19,srednje,2020_40
