ZAVMATNAZ,ZAVNAZ,REGIJA,OBCINA,DAT_OD,DAT_DO,VNOS,OBDOBJE,VZROK,TRAJANJE,LETO_TEDEN_VNOSA
Osnovna šola Center Novo mesto,Osnovna šola Center Novo mesto,Jugovzhodna Slovenija,Novo mesto,2021-09-10,2021-09-20,2021-09-15,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Osnovna šola Metlika,Osnovna šola Metlika,Jugovzhodna Slovenija,Metlika,2021-09-15,2021-09-25,2021-09-15,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_37
Osnovna šola Metlika,Osnovna šola Metlika,Jugovzhodna Slovenija,Metlika,2021-09-16,2021-09-25,2021-09-15,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_37
Osnovna šola Žirovnica,"Osnovna šola Žirovnica, VVE pri OŠ Žirovnica",Gorenjska,Žirovnica,2021-09-10,2021-09-19,2021-09-15,VRTEC,Okužba s Covid-19,srednje,2021_37
Osnovna šola Center Novo mesto,Osnovna šola Center Novo mesto,Jugovzhodna Slovenija,Novo mesto,2021-09-07,2021-09-17,2021-09-15,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Osnovna šola Pohorskega odreda Slovenska Bistrica,Osnovna šola Pohorskega odreda Slov. Bistrica Podružnica Zgornja Ložnica,Podravska,Slovenska Bistrica,2021-09-10,2021-09-20,2021-09-15,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Osnovna šola Ivana Roba Šempeter pri Gorici,Osnovna šola Ivana Roba Šempeter pri Gorici,Goriška,Šempeter-Vrtojba,2021-09-15,2021-09-24,2021-09-15,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_37
Gimnazija Kranj,Gimnazija Kranj,Gorenjska,Kranj,2021-09-10,2021-09-19,2021-09-15,SREDNJA ŠOLA,Okužba s Covid-19,srednje,2021_37
Osnovna šola Orehek Kranj,Osnovna šola Orehek Kranj,Gorenjska,Kranj,2021-09-14,2021-09-22,2021-09-15,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Osnovna šola Pivka,Osnovna šola Pivka,Primorsko-notranjska,Pivka,2021-09-10,2021-09-20,2021-09-15,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Osnovna šola Ketteja in Murna,Osnovna šola Ketteja in Murna,Osrednjeslovenska,Ljubljana,2021-09-10,2021-09-19,2021-09-15,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Osnovna šola Dobrepolje,VVE Ringaraja pri OŠ Dobrepolje,Osrednjeslovenska,Dobrepolje,2021-09-13,2021-09-22,2021-09-15,VRTEC,Sum na okužbo,srednje,2021_37
Osnovna šola Pivka,Osnovna šola Pivka,Primorsko-notranjska,Pivka,2021-09-13,2021-09-23,2021-09-15,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Osnovna šola Martina Krpana Ljubljana,Osnovna šola Martina Krpana Ljubljana,Osrednjeslovenska,Ljubljana,2021-09-14,2021-09-22,2021-09-15,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_37
Osnovna šola Miklavž na Dravskem polju,Osnovna šola Miklavž na Dravskem polju,Podravska,Miklavž na Dravskem polju,2021-09-15,2021-09-24,2021-09-15,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Osnovna šola Prežihovega Voranca Ravne na Koroškem,Osnovna šola Prežihovega Voranca Ravne na Koroškem,Koroška,Ravne na Koroškem,2021-09-15,2021-09-20,2021-09-15,OSNOVNA ŠOLA,Sum na okužbo,kratko,2021_37
Osnovna šola Pohorskega odreda Slovenska Bistrica,Osnovna šola Pohorskega odreda Slov. Bistrica Podružnica Zgornja Ložnica,Podravska,Slovenska Bistrica,2021-09-14,2021-09-24,2021-09-15,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Osnovna šola Miklavž na Dravskem polju,Osnovna šola Miklavž na Dravskem polju,Podravska,Miklavž na Dravskem polju,2021-09-10,2021-09-19,2021-09-15,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Osnovna šola dr. Pavla Lunačka Šentrupert,"Osnovna šola dr. Pavla Lunačka Šentrupert, Vrtec Čebelica",Jugovzhodna Slovenija,Šentrupert,2021-09-09,2021-09-18,2021-09-16,VRTEC,Sum na okužbo,srednje,2021_37
Zavod sv. Stanislava,"Zavod sv. Stanislava, Škofijska klasična gimnazija",Osrednjeslovenska,Ljubljana,2021-09-13,2021-09-22,2021-09-16,SREDNJA ŠOLA,Okužba s Covid-19,srednje,2021_37
Osnovna šola Bojana Ilicha Maribor,Osnovna šola Bojana Ilicha Maribor,Podravska,Maribor,2021-09-10,2021-09-19,2021-09-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Osnovna šola Šmarje - Sap,Osnovna šola Šmarje - Sap,Osrednjeslovenska,Grosuplje,2021-09-15,2021-09-23,2021-09-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_37
Osnovna šola Kobilje,"Osnovna šola Kobilje, enota Vrtec",Pomurska,Kobilje,2021-09-15,2021-09-19,2021-09-16,VRTEC,Sum na okužbo,kratko,2021_37
Osnovna šola Deskle,Osnovna šola Deskle,Goriška,Kanal,2021-09-11,2021-09-20,2021-09-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Osnovna šola Deskle,Osnovna šola Deskle,Goriška,Kanal,2021-09-13,2021-09-22,2021-09-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Osnovna šola Simona Gregorčiča Kobarid,"Osnovna šola Simona Gregorčiča Kobarid, Podružnica Drežnica",Goriška,Kobarid,2021-09-13,2021-09-22,2021-09-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Osnovna šola Deskle,Osnovna šola Deskle,Goriška,Kanal,2021-09-12,2021-09-21,2021-09-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Osnovna šola Deskle,Osnovna šola Deskle,Goriška,Kanal,2021-09-14,2021-09-23,2021-09-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Osnovna šola Kobilje,Osnovna šola Kobilje,Pomurska,Kobilje,2021-09-15,2021-09-23,2021-09-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_37
Osnovna šola Ob Dravinji Slovenske Konjice,Osnovna šola Ob Dravinji Slovenske Konjice,Savinjska,Slovenske Konjice,2021-09-01,2021-09-11,2021-09-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_37
Osnovna šola Ob Dravinji Slovenske Konjice,Osnovna šola Ob Dravinji Slovenske Konjice,Savinjska,Slovenske Konjice,2021-09-01,2021-09-11,2021-09-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Osnovna šola Antona Aškerca Velenje,Osnovna šola Antona Aškerca Velenje,Savinjska,Velenje,2021-09-10,2021-09-19,2021-09-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Osnovna šola Toneta Čufarja Jesenice,Osnovna šola Toneta Čufarja Jesenice,Gorenjska,Jesenice,2021-09-14,2021-09-24,2021-09-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Vrtec Otona Župančiča Slovenska Bistrica,"Vrtec Otona Župančiča Slovenska Bistrica, Enota Pragersko",Podravska,Slovenska Bistrica,2021-09-14,2021-09-23,2021-09-16,VRTEC,Sum na okužbo,srednje,2021_37
Osnovna šola Dobravlje,Osnovna šola Dobravlje Podružnica Skrilje,Goriška,Ajdovščina,2021-09-16,2021-09-30,2021-09-16,OSNOVNA ŠOLA,Sum na okužbo,dolgo,2021_37
Srednja trgovska šola Ljubljana,Srednja trgovska šola Ljubljana,Osrednjeslovenska,Ljubljana,2021-09-14,2021-09-24,2021-09-16,SREDNJA ŠOLA,Sum na okužbo,srednje,2021_37
Prva gimnazija Maribor,Prva gimnazija Maribor,Podravska,Maribor,2021-09-14,2021-09-23,2021-09-16,SREDNJA ŠOLA,Okužba s Covid-19,srednje,2021_37
Srednja elektro-računalniška šola Maribor,Srednja elektro-računalniška šola Maribor,Podravska,Maribor,2021-09-13,2021-09-22,2021-09-16,SREDNJA ŠOLA,Okužba s Covid-19,srednje,2021_37
Osnovna šola Rudolfa Ukoviča Podgrad,Osnovna šola Rudolfa Ukoviča Podgrad,Primorsko-notranjska,Ilirska Bistrica,2021-09-06,2021-09-15,2021-09-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_37
Osnovna šola Vodmat,Osnovna šola Vodmat,Osrednjeslovenska,Ljubljana,2021-09-15,2021-09-25,2021-09-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Osnovna šola Žiri,Osnovna šola Žiri,Gorenjska,Žiri,2021-09-16,2021-09-25,2021-09-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Biotehniški izobraževalni center Ljubljana,"Biotehniški izobraževalni center Ljubljana, Gimnazija in veterinarska šola",Osrednjeslovenska,Ljubljana,2021-09-15,2021-09-25,2021-09-16,SREDNJA ŠOLA,Sum na okužbo,srednje,2021_37
Vrtec Otona Župančiča Slovenska Bistrica,"Vrtec Otona Župančiča Slovenska Bistrica, Enota Zg. Polskava",Podravska,Slovenska Bistrica,2021-09-10,2021-09-20,2021-09-16,VRTEC,Sum na okužbo,srednje,2021_37
Osnovna šola Simona Gregorčiča Kobarid,VVE pri OŠ Simona Gregorčiča Kobarid,Goriška,Kobarid,2021-09-13,2021-09-22,2021-09-16,VRTEC,Sum na okužbo,srednje,2021_37
II. gimnazija Maribor,II. gimnazija Maribor,Podravska,Maribor,2021-09-15,2021-09-24,2021-09-16,SREDNJA ŠOLA,Okužba s Covid-19,srednje,2021_37
Osnovna šola Loče,Osnovna šola Loče,Savinjska,Slovenske Konjice,2021-09-14,2021-09-23,2021-09-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Osnovna šola dr. Pavla Lunačka Šentrupert,Osnovna šola dr. Pavla Lunačka Šentrupert,Jugovzhodna Slovenija,Šentrupert,2021-09-15,2021-09-25,2021-09-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_37
Osnovna šola dr. Pavla Lunačka Šentrupert,"Osnovna šola dr. Pavla Lunačka Šentrupert, Vrtec Čebelica",Jugovzhodna Slovenija,Šentrupert,2021-09-15,2021-09-25,2021-09-16,VRTEC,Sum na okužbo,srednje,2021_37
Osnovna šola Kozara Nova Gorica,Osnovna šola Kozara Nova Gorica,Goriška,Nova Gorica,2021-09-11,2021-09-20,2021-09-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Osnovna šola Šmarje - Sap,Osnovna šola Šmarje - Sap,Osrednjeslovenska,Grosuplje,2021-09-14,2021-09-23,2021-09-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_37
Osnovna šola Ljudski vrt Ptuj,Osnovna šola Ljudski vrt Ptuj,Podravska,Ptuj,2021-09-15,2021-09-25,2021-09-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Srednja šola Pietro Coppo Izola,Srednja šola Pietro Coppo Izola,Obalno-kraška,Izola,2021-09-15,2021-09-25,2021-09-16,SREDNJA ŠOLA,Okužba s Covid-19,srednje,2021_37
Zavod za vzgojo in izobraževanje Logatec,Zavod za vzgojo in izobraževanje Logatec,Osrednjeslovenska,Logatec,2021-09-13,2021-09-23,2021-09-16,SREDNJA ŠOLA,Okužba s Covid-19,srednje,2021_37
Osnovna šola Miroslava Vilharja Postojna,Osnovna šola Miroslava Vilharja Postojna,Primorsko-notranjska,Postojna,2021-09-15,2021-09-24,2021-09-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Osnovna šola Ivana Cankarja Vrhnika,Osnovna šola Ivana Cankarja Vrhnika,Osrednjeslovenska,Vrhnika,2021-09-14,2021-09-23,2021-09-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_37
OTROŠKI VRTEC AJDOVŠČINA,"OTROŠKI VRTEC AJDOVŠČINA, ENOTA VRTEC PODNANOS",Goriška,Vipava,2021-09-09,2021-09-18,2021-09-16,VRTEC,Sum na okužbo,srednje,2021_37
Glasbena šola Slovenska Bistrica,Glasbena šola Slovenska Bistrica,Podravska,Slovenska Bistrica,2021-09-14,2021-09-21,2021-09-16,GLASBENA ŠOLA,Okužba s Covid-19,srednje,2021_37
Osnovna šola Ob Dravinji Slovenske Konjice,Osnovna šola Ob Dravinji Slovenske Konjice,Savinjska,Slovenske Konjice,2021-09-13,2021-09-23,2021-09-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_37
Osnovna šola Gorica Velenje,Osnovna šola Gorica Velenje,Savinjska,Velenje,2021-09-16,2021-09-25,2021-09-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Osnovna šola Prežihovega Voranca Maribor,Osnovna šola Prežihovega Voranca Maribor,Podravska,Maribor,2021-09-16,2021-09-25,2021-09-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_37
Osnovna šola Toneta Okrogarja,Osnovna šola Toneta Okrogarja,Zasavska,Zagorje ob Savi,2021-09-13,2021-09-22,2021-09-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_37
Osnovna šola Tržič,Osnovna šola Tržič,Gorenjska,Tržič,2021-09-16,2021-09-22,2021-09-16,OSNOVNA ŠOLA,Sum na okužbo,kratko,2021_37
Gimnazija Nova Gorica,Gimnazija Nova Gorica,Goriška,Nova Gorica,2021-09-15,2021-09-21,2021-09-16,SREDNJA ŠOLA,Sum na okužbo,kratko,2021_37
Osnovna šola Poljane Ljubljana,Osnovna šola Poljane Ljubljana,Osrednjeslovenska,Ljubljana,2021-09-15,2021-09-24,2021-09-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_37
Osnovna šola Elvire Vatovec Prade - Koper,Osnovna šola Elvire Vatovec Prade - Koper,Obalno-kraška,Koper,2021-09-12,2021-09-26,2021-09-16,OSNOVNA ŠOLA,Okužba s Covid-19,dolgo,2021_37
Osnovna šola Prežihovega Voranca Jesenice,Osnovna šola Prežihovega Voranca Jesenice,Gorenjska,Jesenice,2021-09-15,2021-09-25,2021-09-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Osnovna šola Prežihovega Voranca Jesenice,Osnovna šola Prežihovega Voranca Jesenice,Gorenjska,Jesenice,2021-09-11,2021-09-21,2021-09-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Vrtec Antona Medveda Kamnik,"Vrtec Antona Medveda Kamnik, enota Cepetavček",Osrednjeslovenska,Kamnik,2021-09-15,2021-09-25,2021-09-16,VRTEC,Okužba s Covid-19,srednje,2021_37
Osnovna šola Gorica Velenje,Osnovna šola Gorica Velenje,Savinjska,Velenje,2021-09-17,2021-09-21,2021-09-16,OSNOVNA ŠOLA,Sum na okužbo,kratko,2021_37
Osnovna šola Gorica Velenje,Osnovna šola Gorica Velenje,Savinjska,Velenje,2021-09-13,2021-09-20,2021-09-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Vrtec Antona Medveda Kamnik,"Vrtec Antona Medveda Kamnik, enota Rožle",Osrednjeslovenska,Kamnik,2021-09-15,2021-09-24,2021-09-16,VRTEC,Sum na okužbo,srednje,2021_37
Osnovna šola Prežihovega Voranca Jesenice,Osnovna šola Prežihovega Voranca Jesenice,Gorenjska,Jesenice,2021-09-15,2021-09-23,2021-09-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Glasbena šola Sevnica,Glasbena šola Sevnica,Posavska,Sevnica,2021-09-13,2021-09-19,2021-09-16,GLASBENA ŠOLA,Sum na okužbo,kratko,2021_37
Osnovna šola Prežihovega Voranca Jesenice,Osnovna šola Prežihovega Voranca Jesenice,Gorenjska,Jesenice,2021-09-12,2021-09-22,2021-09-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Osnovna šola Ob Dravinji Slovenske Konjice,"Osnovna šola Ob Dravinji, Podružnična šola Tepanje",Savinjska,Slovenske Konjice,2021-09-16,2021-09-26,2021-09-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_37
Šolski center Novo mesto,"Šolski center Novo mesto, Srednja elektro šola in tehniška gimnazija",Jugovzhodna Slovenija,Novo mesto,2021-09-15,2021-09-24,2021-09-16,SREDNJA ŠOLA,Okužba s Covid-19,srednje,2021_37
Osnovna šola Dobrepolje,VVE Ringaraja pri OŠ Dobrepolje,Osrednjeslovenska,Dobrepolje,2021-09-13,2021-09-22,2021-09-16,VRTEC,Sum na okužbo,srednje,2021_37
"Srednja gradbena, geodetska in okoljevarstvena šola Ljubljana","Srednja gradbena, geodetska in okoljevarstvena šola Ljubljana",Osrednjeslovenska,Ljubljana,2021-09-13,2021-09-23,2021-09-16,SREDNJA ŠOLA,Sum na okužbo,srednje,2021_37
Osnovna šola Zreče,"Osnovna šola Zreče, Podružnična šola Stranice",Savinjska,Zreče,2021-09-13,2021-09-23,2021-09-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_37
Srednja šola Izola,Srednja šola Izola,Obalno-kraška,Izola,2021-09-14,2021-09-19,2021-09-16,SREDNJA ŠOLA,Okužba s Covid-19,kratko,2021_37
Vrtec Antona Medveda Kamnik,"Vrtec Antona Medveda Kamnik, enota Pedenjped",Osrednjeslovenska,Kamnik,2021-09-15,2021-09-24,2021-09-16,VRTEC,Sum na okužbo,srednje,2021_37
Osnovna šola Center Novo mesto,Osnovna šola Center Novo mesto,Jugovzhodna Slovenija,Novo mesto,2021-09-15,2021-09-21,2021-09-16,OSNOVNA ŠOLA,Okužba s Covid-19,kratko,2021_37
Glasbena šola Slovenska Bistrica,Glasbena šola Slovenska Bistrica,Podravska,Slovenska Bistrica,2021-09-13,2021-09-17,2021-09-16,GLASBENA ŠOLA,Sum na okužbo,kratko,2021_37
Gimnazija Ptuj,Gimnazija Ptuj,Podravska,Ptuj,2021-09-10,2021-09-19,2021-09-16,SREDNJA ŠOLA,Sum na okužbo,srednje,2021_37
Gimnazija Ptuj,Gimnazija Ptuj,Podravska,Ptuj,2021-09-13,2021-09-22,2021-09-16,SREDNJA ŠOLA,Sum na okužbo,srednje,2021_37
Osnovna šola Rovte,Osnovna šola Rovte,Osrednjeslovenska,Logatec,2021-09-13,2021-09-17,2021-09-16,OSNOVNA ŠOLA,Okužba s Covid-19,kratko,2021_37
Glasbena šola Slovenska Bistrica,Glasbena šola Slovenska Bistrica,Podravska,Slovenska Bistrica,2021-09-10,2021-09-19,2021-09-16,GLASBENA ŠOLA,Sum na okužbo,srednje,2021_37
Osnovna šola Polje,Osnovna šola Polje,Osrednjeslovenska,Ljubljana,2021-09-16,2021-09-26,2021-09-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_37
Osnovna šola Prežihovega Voranca Jesenice,Osnovna šola Prežihovega Voranca Jesenice,Gorenjska,Jesenice,2021-09-16,2021-09-24,2021-09-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Osnovna šola Simona Gregorčiča Kobarid,Osnovna šola Simona Gregorčiča Kobarid,Goriška,Kobarid,2021-09-15,2021-09-24,2021-09-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Osnovna šola Kozara Nova Gorica,Osnovna šola Kozara Nova Gorica,Goriška,Nova Gorica,2021-09-15,2021-09-24,2021-09-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Glasbena šola Sevnica,Glasbena šola Sevnica,Posavska,Sevnica,2021-09-11,2021-09-19,2021-09-16,GLASBENA ŠOLA,Okužba s Covid-19,srednje,2021_37
Osnovna šola Alojza Gradnika Dobrovo,Osnovna šola Alojza Gradnika Dobrovo,Goriška,Brda,2021-09-12,2021-09-21,2021-09-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Gimnazija Moste,Gimnazija Moste,Osrednjeslovenska,Ljubljana,2021-09-16,2021-09-19,2021-09-16,SREDNJA ŠOLA,Sum na okužbo,kratko,2021_37
Biotehniški izobraževalni center Ljubljana,"Biotehniški izobraževalni center Ljubljana, Gimnazija in veterinarska šola",Osrednjeslovenska,Ljubljana,2021-09-13,2021-09-23,2021-09-16,SREDNJA ŠOLA,Sum na okužbo,srednje,2021_37
Osnovna šola Rodica,Osnovna šola Rodica,Osrednjeslovenska,Domžale,2021-09-15,2021-09-24,2021-09-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_37
Osnovna šola Rodica,Osnovna šola Rodica,Osrednjeslovenska,Domžale,2021-09-13,2021-09-24,2021-09-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_37
Srednja gostinska in turistična šola Radovljica,Srednja gostinska in turistična šola Radovljica,Gorenjska,Radovljica,2021-09-13,2021-09-22,2021-09-16,SREDNJA ŠOLA,Okužba s Covid-19,srednje,2021_37
Osnovna šola Metlika,Osnovna šola Metlika,Jugovzhodna Slovenija,Metlika,2021-09-15,2021-09-25,2021-09-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Osnovna šola Pesnica,Osnovna šola Pesnica,Podravska,Pesnica,2021-09-13,2021-09-22,2021-09-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Glasbena šola Slovenska Bistrica,Glasbena šola Slovenska Bistrica,Podravska,Slovenska Bistrica,2021-09-12,2021-09-17,2021-09-16,GLASBENA ŠOLA,Sum na okužbo,kratko,2021_37
Osnovna šola Ig,Osnovna šola Ig,Osrednjeslovenska,Ig,2021-09-16,2021-09-26,2021-09-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Osnovna šola Rodica,Osnovna šola Rodica,Osrednjeslovenska,Domžale,2021-09-13,2021-09-20,2021-09-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_37
Osnovna šola Ob Dravinji Slovenske Konjice,Osnovna šola Ob Dravinji Slovenske Konjice,Savinjska,Slovenske Konjice,2021-09-08,2021-09-18,2021-09-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_37
Srednja šola Izola,Srednja šola Izola,Obalno-kraška,Izola,2021-09-06,2021-09-15,2021-09-16,SREDNJA ŠOLA,Okužba s Covid-19,srednje,2021_37
"Srednja gradbena, geodetska in okoljevarstvena šola Ljubljana","Srednja gradbena, geodetska in okoljevarstvena šola Ljubljana",Osrednjeslovenska,Ljubljana,2021-09-09,2021-09-19,2021-09-16,SREDNJA ŠOLA,Sum na okužbo,srednje,2021_37
Osnovna šola Rače,"Osnovna šola Rače, enota vrtec Rače",Podravska,Rače-Fram,2021-09-13,2021-09-22,2021-09-16,VRTEC,Sum na okužbo,srednje,2021_37
Osnovna šola Toma Brejca Kamnik,Osnovna šola Toma Brejca Kamnik,Osrednjeslovenska,Kamnik,2021-09-16,2021-09-24,2021-09-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_37
Osnovna šola Ob Dravinji Slovenske Konjice,Osnovna šola Ob Dravinji Slovenske Konjice,Savinjska,Slovenske Konjice,2021-09-09,2021-09-19,2021-09-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_37
Osnovna šola Rovte,Osnovna šola Rovte,Osrednjeslovenska,Logatec,2021-09-06,2021-09-17,2021-09-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_37
Osnovna šola Rovte,Osnovna šola Rovte,Osrednjeslovenska,Logatec,2021-09-07,2021-09-17,2021-09-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_37
Javni zavod Osnovna šola Marjana Nemca Radeče,Javni zavod Osnovna šola Marjana Nemca Radeče,Posavska,Radeče,2021-09-10,2021-09-19,2021-09-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Osnovna šola Zreče,"Osnovna šola Zreče, Podružnična šola Stranice",Savinjska,Zreče,2021-09-16,2021-09-26,2021-09-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_37
Osnovna šola Dekani,Osnovna šola Dekani,Obalno-kraška,Koper,2021-09-13,2021-09-22,2021-09-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Osnovna šola dr. Ljudevita Pivka Ptuj,Osnovna šola dr. Ljudevita Pivka Ptuj,Podravska,Ptuj,2021-09-06,2021-09-17,2021-09-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_37
Ekonomska šola Novo mesto,"Ekonomska šola Novo mesto, Srednja šola in gimnazija",Jugovzhodna Slovenija,Novo mesto,2021-09-16,2021-09-24,2021-09-16,SREDNJA ŠOLA,Okužba s Covid-19,srednje,2021_37
Osnovna šola Prežihovega Voranca Jesenice,Osnovna šola Prežihovega Voranca Jesenice,Gorenjska,Jesenice,2021-09-13,2021-09-23,2021-09-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Osnovna šola Antona Globočnika Postojna,Osnovna šola Antona Globočnika Postojna,Primorsko-notranjska,Postojna,2021-09-15,2021-09-24,2021-09-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Šolski center Novo mesto,"Šolski center Novo mesto, Srednja elektro šola in tehniška gimnazija",Jugovzhodna Slovenija,Novo mesto,2021-09-15,2021-09-25,2021-09-16,SREDNJA ŠOLA,Okužba s Covid-19,srednje,2021_37
Osnovna šola Jurija Vege,Osnovna šola Jurija Vege,Osrednjeslovenska,Moravče,2021-09-13,2021-09-22,2021-09-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Srednja šola Izola,Srednja šola Izola,Obalno-kraška,Izola,2021-09-16,2021-09-22,2021-09-16,SREDNJA ŠOLA,Okužba s Covid-19,kratko,2021_37
Osnovna šola Metlika,Osnovna šola Metlika,Jugovzhodna Slovenija,Metlika,2021-09-13,2021-09-23,2021-09-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Osnovna šola Ivana Cankarja Vrhnika,Osnovna šola Ivana Cankarja Vrhnika,Osrednjeslovenska,Vrhnika,2021-09-15,2021-09-24,2021-09-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_37
Osnovna šola Ivana Roba Šempeter pri Gorici,Osnovna šola Ivana Roba Šempeter pri Gorici,Goriška,Šempeter-Vrtojba,2021-09-16,2021-09-24,2021-09-16,OSNOVNA ŠOLA,Sum na okužbo,srednje,2021_37
Gimnazija Šentvid,Gimnazija Šentvid,Osrednjeslovenska,Ljubljana,2021-09-16,2021-09-22,2021-09-16,SREDNJA ŠOLA,Okužba s Covid-19,kratko,2021_37
Osnovna šola Ob Dravinji Slovenske Konjice,Osnovna šola Ob Dravinji Slovenske Konjice,Savinjska,Slovenske Konjice,2021-09-06,2021-09-16,2021-09-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Osnovna šola Pohorskega odreda Slovenska Bistrica,Osnovna šola Pohorskega odreda Slovenska Bistrica,Podravska,Slovenska Bistrica,2021-09-13,2021-09-23,2021-09-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2021_37
Srednja elektro-računalniška šola Maribor,Srednja elektro-računalniška šola Maribor,Podravska,Maribor,2021-09-11,2021-09-20,2021-09-16,SREDNJA ŠOLA,Sum na okužbo,srednje,2021_37
Glasbena šola Sevnica,Glasbena šola Sevnica,Posavska,Sevnica,2021-09-10,2021-09-19,2021-09-16,GLASBENA ŠOLA,Sum na okužbo,srednje,2021_37
Glasbena šola Škofja Loka,Glasbena šola Škofja Loka,Gorenjska,Škofja Loka,2021-09-16,2021-09-25,2021-09-16,GLASBENA ŠOLA,Sum na okužbo,srednje,2021_37
