Sequence,Support,Relative Frequency
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}, {zelo malo}",6,0.5454545454545454
"{zelo malo}, {2. star. obd., srednje}",6,0.5454545454545454
"{Okužba s Covid-19 pri drugem strokovnem delavcu, veliko}, {malo}",6,0.5454545454545454
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {Okužba s Covid-19 pri učencu ali več učencih oddelka, srednje}",7,0.6363636363636364
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {malo}, {zelo malo}",7,0.6363636363636364
"{veliko}, {9 days, srednje}",6,0.5454545454545454
"{srednje}, {Okužba s Covid-19 pri drugem strokovnem delavcu}, {zelo malo}",6,0.5454545454545454
"{Okužba s Covid-19 pri učencu ali več učencih oddelka, srednje}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}",6,0.5454545454545454
"{srednje}, {2. star. obd., srednje}",6,0.5454545454545454
"{srednje}, {veliko}, {malo}",6,0.5454545454545454
"{10 days, srednje}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}",6,0.5454545454545454
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {9 days}, {1. letnik}",6,0.5454545454545454
"{srednje}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}, {zelo malo}",7,0.6363636363636364
"{srednje}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}, {malo}",7,0.6363636363636364
"{9 days}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}, {zelo malo}",6,0.5454545454545454
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}, {srednje}",6,0.5454545454545454
"{2. star. obd.}, {Okužba s Covid-19 pri učitelju, srednje}",6,0.5454545454545454
"{Okužba s Covid-19 pri učencu ali več učencih oddelka, srednje}, {9 days}",6,0.5454545454545454
"{veliko}, {malo}, {zelo malo}",6,0.5454545454545454
"{Okužba s Covid-19 pri drugem strokovnem delavcu, veliko}, {srednje}",6,0.5454545454545454
"{srednje}, {malo}, {zelo malo}",7,0.6363636363636364
"{srednje}, {Okužba s Covid-19 pri drugem strokovnem delavcu}, {srednje}",7,0.6363636363636364
"{srednje}, {veliko}, {srednje}",6,0.5454545454545454
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {9 days, srednje}",6,0.5454545454545454
"{srednje}, {9 days}, {1. letnik}",6,0.5454545454545454
"{10 days}, {Okužba s Covid-19 pri učencu ali več učencih oddelka, srednje}",6,0.5454545454545454
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {9 days}, {zelo malo}",6,0.5454545454545454
"{srednje}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}, {srednje}",7,0.6363636363636364
"{10 days}, {10 days}, {srednje}",6,0.5454545454545454
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {10 days}, {zelo malo}",6,0.5454545454545454
"{Okužba s Covid-19 pri drugem strokovnem delavcu}, {srednje}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}",6,0.5454545454545454
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {Okužba s Covid-19 pri drugem strokovnem delavcu}, {zelo malo}",6,0.5454545454545454
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {veliko}, {malo}",6,0.5454545454545454
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {2. star. obd., srednje}",6,0.5454545454545454
"{srednje}, {9 days}, {zelo malo}",6,0.5454545454545454
"{veliko}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}",6,0.5454545454545454
"{9 days}, {9 days}, {zelo malo}",6,0.5454545454545454
"{Okužba s Covid-19 pri drugem strokovnem delavcu}, {srednje}, {9 days}",6,0.5454545454545454
"{srednje}, {Okužba s Covid-19 pri drugem strokovnem delavcu}, {1. razred}",6,0.5454545454545454
"{srednje}, {10 days}, {zelo malo}",6,0.5454545454545454
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {srednje}, {srednje}",8,0.7272727272727273
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {Okužba s Covid-19 pri drugem strokovnem delavcu}, {srednje}",6,0.5454545454545454
"{veliko}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}, {9 days}",6,0.5454545454545454
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {veliko}, {srednje}",6,0.5454545454545454
