Sequence,Support,Relative Frequency
"{OSNOVNA ŠOLA}, {VRTEC}, {veliko}",3,1.0
"{Sum na okužbo pri zaposlenem}, {srednje}, {veliko}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {kratko}, {veliko}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {Okužba pri zaposlenem}, {dolgo}",3,1.0
"{Sum na okužbo pri zaposlenem}, {VRTEC}, {kratko}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {Okužba pri zaposlenem}, {malo}",3,1.0
"{SREDNJA ŠOLA}, {Sum na okužbo pri otroku / učencu / dijaku}, {Sum na okužbo pri zaposlenem}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {Okužba pri zaposlenem}, {VRTEC}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {dolgo}, {srednje}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {SREDNJA ŠOLA}, {Sum na okužbo pri zaposlenem}",3,1.0
"{SREDNJA ŠOLA}, {dolgo}, {srednje}",3,1.0
"{dolgo}, {kratko}, {veliko}",3,1.0
"{Okužba pri zaposlenem}, {dolgo}, {kratko}",3,1.0
"{dolgo}, {srednje}, {veliko}",3,1.0
"{OSNOVNA ŠOLA}, {kratko}, {malo}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {Sum na okužbo pri zaposlenem}, {srednje}",3,1.0
"{SREDNJA ŠOLA}, {kratko}, {veliko}",3,1.0
"{SREDNJA ŠOLA}, {Sum na okužbo pri zaposlenem}, {VRTEC}",3,1.0
"{SREDNJA ŠOLA}, {dolgo}, {veliko}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {Sum na okužbo pri otroku / učencu / dijaku}, {kratko}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {Okužba pri zaposlenem}, {Sum na okužbo pri zaposlenem}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {Sum na okužbo pri zaposlenem}, {veliko}",3,1.0
"{Sum na okužbo pri otroku / učencu / dijaku}, {VRTEC}, {dolgo}",3,1.0
