Rule,Confidence
"{Drugi delavci}, {Učitelj} => {Drugi strokovni delavec}",1.0
"{Drugi strokovni delavec}, {Učitelj} => {Drugi delavci}",1.0
"{Drugi strokovni delavec} => {Sum na okužbo}, {srednje}",1.0
"{Sum na okužbo} => {Drugi strokovni delavec}, {srednje}",1.0
"{srednje} => {Drugi strokovni delavec}, {Sum na okužbo}",1.0
"{Drugi strokovni delavec}, {Sum na okužbo} => {srednje}",1.0
"{Drugi strokovni delavec}, {srednje} => {Sum na okužbo}",1.0
"{Sum na okužbo}, {srednje} => {Drugi strokovni delavec}",1.0
"{Drugi strokovni delavec} => {Sum na okužbo}, {Učitelj}",1.0
"{Sum na okužbo} => {Drugi strokovni delavec}, {Učitelj}",1.0
"{Učitelj} => {Drugi strokovni delavec}, {Sum na okužbo}",1.0
"{Drugi strokovni delavec}, {Sum na okužbo} => {Učitelj}",1.0
"{Drugi strokovni delavec}, {Učitelj} => {Sum na okužbo}",1.0
"{Sum na okužbo}, {Učitelj} => {Drugi strokovni delavec}",1.0
"{Drugi delavci} => {kratko}, {srednje}",1.0
"{kratko} => {Drugi delavci}, {srednje}",1.0
"{srednje} => {Drugi delavci}, {kratko}",1.0
"{Drugi delavci}, {kratko} => {srednje}",1.0
"{Drugi delavci}, {srednje} => {kratko}",1.0
"{kratko}, {srednje} => {Drugi delavci}",1.0
"{Drugi strokovni delavec} => {Učitelj}, {Vzgojitelj}",1.0
"{Učitelj} => {Drugi strokovni delavec}, {Vzgojitelj}",1.0
"{Vzgojitelj} => {Drugi strokovni delavec}, {Učitelj}",1.0
"{Drugi strokovni delavec}, {Učitelj} => {Vzgojitelj}",1.0
"{Drugi strokovni delavec}, {Vzgojitelj} => {Učitelj}",1.0
"{Učitelj}, {Vzgojitelj} => {Drugi strokovni delavec}",1.0
"{Okužba s Covid-19} => {kratko}, {srednje}",1.0
"{kratko} => {Okužba s Covid-19}, {srednje}",1.0
"{srednje} => {Okužba s Covid-19}, {kratko}",1.0
"{Okužba s Covid-19}, {kratko} => {srednje}",1.0
"{Okužba s Covid-19}, {srednje} => {kratko}",1.0
"{kratko}, {srednje} => {Okužba s Covid-19}",1.0
"{Drugi strokovni delavec} => {Učitelj}, {kratko}",1.0
"{Učitelj} => {Drugi strokovni delavec}, {kratko}",1.0
"{kratko} => {Drugi strokovni delavec}, {Učitelj}",1.0
"{Drugi strokovni delavec}, {Učitelj} => {kratko}",1.0
"{Drugi strokovni delavec}, {kratko} => {Učitelj}",1.0
"{Učitelj}, {kratko} => {Drugi strokovni delavec}",1.0
"{Okužba s Covid-19} => {Sum na okužbo}, {kratko}",1.0
"{Sum na okužbo} => {Okužba s Covid-19}, {kratko}",1.0
"{kratko} => {Okužba s Covid-19}, {Sum na okužbo}",1.0
"{Okužba s Covid-19}, {Sum na okužbo} => {kratko}",1.0
"{Okužba s Covid-19}, {kratko} => {Sum na okužbo}",1.0
"{Sum na okužbo}, {kratko} => {Okužba s Covid-19}",1.0
"{Drugi strokovni delavec} => {Učitelj}, {dolgo}",1.0
"{Učitelj} => {Drugi strokovni delavec}, {dolgo}",1.0
"{dolgo} => {Drugi strokovni delavec}, {Učitelj}",1.0
"{Drugi strokovni delavec}, {Učitelj} => {dolgo}",1.0
"{Drugi strokovni delavec}, {dolgo} => {Učitelj}",1.0
